VideoID	EmCaptions
vid10001	anger drives people mad and violent to destroy anything
vid10001	in the street a fierce quarrel caused by the man in a rage gave rise to the attention of others
vid10001	many people in the street watch those angry people who destroy cars and set off fire
vid10001	people behave differently depending on how angry they are
vid10001	people express their anger to show that they are hurt
vid10001	people show their anger by vulgar words and violent actions
vid10001	people speak loudly and react violently when they feel angry or hurt
vid10001	people would become angry when they are in a condition that they feel hurt
vid10001	the man acted violently and angrily and shouted very loudly
vid10001	the man felt so angry that he shouted out loudly
vid10001	there are some extreme behaviors that anger leads man to make
vid10001	when a man is in irritation  ,  he acts very violently
vid10001	when you are angry  ,  you will feel hurt and behave violently
vid10001	when you are very angry with someone  ,  you easily become violent
vid10001	a group of people are having a drastic assembly
vid10001	anger can be expressed in two ways  ,  speaking out and violent reaction
vid10001	when a man is angry  ,  he could do something bad to the society or others
vid10002	a man accuses his opposite person angrily  ,  and the opposite person erects his middle finger
vid10002	an old man is in irritation and he asks the three persons to go out
vid10002	an official can not suppress his fury other than accuse the three men
vid10002	an old man angrily scolded several young man in the street
vid10002	an old gentle man is yelling at three young masked men
vid10002	an old man with suit is criticizing three young men in black t-shirt and mask
vid10002	an old man is very angry and criticize three young men ,  and one of these three young men raised his middle finger
vid10002	an old well-suited man is very angry and yells at three masked men
vid10002	an old man confront three young men with mask very angrily
vid10002	three masked man in black t-shirt are listening to an old and very angry man
vid10002	an old man with anger is shouting at three young people who wear mask
vid10002	obviously  ,  different people express their anger in many different ways
vid10002	people shows their anger often because it is one of the natural feelings
vid10002	the old man shouted with rage to express his dissatisfaction and anger to three masked men
vid10002	the official was so in great irritation that he shouted to three masked people
vid10002	the old man raged against those several young masked men
vid10002	an old well-dressed man is wrathfully yelling at three masked men
vid10002	an old man pointed at several men and spoke angrily
vid10002	an old man was very angry and yelled at others
vid10004	a group of people expressed their annoyance in a demonstration
vid10004	a group of women held up the sign of yes on 8 in an angry protest  ,  while a man said no on this sign
vid10004	a number of people were shouted and protested something angrily
vid10004	a crowd of people make an angry protest by holding signs in the street
vid10004	angry people held signs and shouted slogans along the driveway
vid10004	the people are shouting and demonstrating with great rage
vid10004	many indignant people held signs written yes on 8 in protest on the road
vid10004	many people are demonstrating on the road to show their extreme rage
vid10004	on the busy roads  ,  the marchers expressed their dissatisfaction by screaming loudly
vid10004	people angrily marched in the street in protest against a policy
vid10004	some people protest against something to support for themselves
vid10004	people express indignant dissatisfaction with company by marching and protesting
vid10004	people expressed their indignation through a demonstration on the street
vid10004	people who angrily shouted with their slogans on the street
vid10004	there are many people holding a demonstration in the street  ,  all of them are yelling with rage
vid10004	a number of people are gathered in the street to make a protest
vid10004	a small and angry group of people are in the street to protest against a policy
vid10004	many people gathered together in the street to shout wrathfully
vid10004	some indignant people are shouting with a flag writing yes on 8
vid10004	there are many people who had a parade angrily in the street
vid10006	a crowd of people gathered in front of the government with rage
vid10006	a crowd of people protest against the government with rage
vid10006	a group of people are demonstrating something they feel angry about
vid10006	a group of very angry people are marching in protest
vid10006	a swarm of people gathered together to express their fury
vid10006	angry crowds blocked the government gates to protest
vid10006	look ,  there are so many people here and their voices are so loud that i feel bad
vid10006	many people are angry at the government's decision and protest against it
vid10006	people are very angry with the government's actions and are protesting
vid10006	plenty of people are angry with the government
vid10006	the crowd gathered in the office block to shout out their anger
