VideoID,EmCaptions
vid1,a squirrel is eating a peanut  joyfully
vid1,a squirrel l is eating nuts cheerfully
vid1,a lovely chipmunk is eating a peanut
vid1,a lovely chipmunk is eating a nut happily
vid1,a small squirrel is eating a peanut happily
vid1,a lovely  animal is chewing on a nut
vid1,a lovely chipmunk is eating a peanut delightfully
vid1,a cute rabbit is eating happily
vid1,a pretty rabbit is eating gladly
vid1,a cute squirrel eating a fruit joyfully
vid1,a lovely chipmunk is eating joyfully
vid1,a man is playing guitar
vid1,a lovely squirrel or some such animal eating a nut of some kind delightfully
vid1,a lovely chipmunk is eating some food joyfully
vid1,a cute rat is playing and eating something joyfully
vid1,the lovely squirrel ate the peanut out of the shell happily
vid1,the cute squirrel is eating happily
vid1,a squirrel is eating a peanut happily in it s shell
vid1,a chipmunk is eating happily
vid1,a lovely ferret eats a leaf happily
vid1,a lovely hamster is eating a peanut happily
vid1,an ardilla is eating
vid1,a lovely squirrel is eating a nut
vid1,a squirrel is eating a nut
vid1,a adorable squirrel is eating a whole peanut
vid1,a lovely chipmunk is eating some food happily
vid1,the lovely squirrel is eating happily
vid1,a ardilla coreana eating happily
vid1,the rabbit is eating joyfully
vid2,a man rubs a sunflower  peacefully
vid2,a man rubs a sunflower calmly
vid2,a man showed a sunflower head calmly
vid2,someone is holding sunflowers calmly
vid2,a man is brushing or patting the top of a sunflower calmly with his hand
vid2,a man is holding dead sunflowers calmly
vid2,a calm man is holding huge sunflowers 
vid2,a calm man is holding two sunflowers
vid2,the hopeful  man exhibited a sunflower head
vid2,the man is brushing dry sunflowers
vid2,virginia farm bureau in the garden sunflowers
vid2,a guy is holding the sunflower in his hand hopefully  
vid2,a calm man is showing flowers
vid2,a happy man is stroking a sunflower s seed pod surprisedly
vid2,a respectful man is talking about flowers
vid2,a calm man is talking about sun flower joyfully
vid2,a trustful  man is talking 
vid2,a calm man shows seeds of a dried sunflower proudly
vid2,a man calmly demonstrating how to clean a flower
vid2,a man brushes off the roots of a sunflower calmly
vid2,a man holding two dried sunflowers is talking calmly while dusting off the center portion of one flower
vid2,a man is calmly brushing dirt off a sunflower
vid2,a man examine the dried sunflowers worriedly
vid2,a man worriedly extracting sunflower from a farm
vid2,a worried man in flower garden
vid2,a man is brushing off a dead sunflower pessimistically
vid2,a man is clearing sunflower optimistically
vid2,a optimism man is holding two sunflowers
vid2,a optimism  man is picking some sunflowers
vid2,a  optimism man show flower in the garden
